virksomhedsRegistreringsId,ejerkreds_aktiv_92,ejerkreds_aktiv_94,virksomhedsoplysninger_21,virksomhedsoplysninger_22,virksomhedsoplysninger_25,virksomhedsoplysninger_24,virksomhedsoplysninger_23,virksomhedsoplysninger_20,ejerkreds_aktiv_10,ejerkreds_aktiv_31,ejerkreds_aktiv_96,ejerkreds_aktiv_47,ejerkreds_aktiv_12,ejerkreds_aktiv_48,ejerkreds_aktiv_50,ejerkreds_aktiv_49,ejerkreds_aktiv_1,ejerkreds_aktiv_130,ejerkreds_aktiv_129,ejerkreds_aktiv_128,ejerkreds_aktiv_127,ejerkreds_aktiv_6,ejerkreds_aktiv_25,ejerkreds_aktiv_26,ejerkreds_aktiv_80,ejerkreds_aktiv_102,ejerkreds_aktiv_78,ejerkreds_ny_32,ejerkreds_aktiv_34,virksomhedsoplysninger_55,virksomhedsoplysninger_54,sagsoplysninger_3,ejerkreds_ny_34,sagsoplysninger_2,sagsoplysninger_30,sagsoplysninger_36,target
1,0,0,0.0,"-5,00e+06","-1,0e+06","2,87250000000000e-02","23,89750000000000",-500000.0,0.0,4.0,4.0,4,3,1,1,1,2.0,0.0,0.0,0.0,0.0,1496.0,"-25307,0000000000",-25307.0,0.0,0.0,0,0.0,0.0,4,5,0,0,-79,0,2,False
2,0,0,,,,,,,0.0,2.0,1.0,4,1,1,2,1,12.0,0.0,0.0,0.0,0.0,30.0,"-25537,0000000000",-25537.0,0.0,0.0,0,0.0,0.0,6,5,0,0,-30,0,2,False
5,0,0,0.0,"-5,00e+06","0,0e+00","0,00000000000000e+00","12,95000000000000",0.0,0.0,4.0,1.0,6,1,4,4,4,11.0,0.0,0.0,0.0,0.0,864.0,"-25432,0000000000",-25432.0,0.0,0.0,0,0.0,0.0,9,10,0,0,-135,0,2,False
6,0,0,0.0,"-5,00e+06","-1,0e+06","1,93000000000000e-01","38,81500000000000",0.0,0.0,3.0,1.0,4,2,2,2,2,2.0,0.0,0.0,0.0,0.0,66.0,"-25564,0000000000",-25564.0,0.0,0.0,0,0.0,0.0,4,10,0,0,0,0,2,True
7,1,1,0.0,"-5,00e+06","-1,0e+06","4,71583333333333e-01","171,26750000000001",-500000.0,0.0,13.0,3.0,20,1,2,5,2,13.0,1.0,1.0,0.0,1.0,102.0,"-25515,0000000000",-25515.0,0.0,0.0,0,0.0,0.0,6,10,0,0,-21,1,2,False
8,0,0,0.0,"-5,00e+06","-1,0e+06","2,85000000000000e-01","74,98000000000000",-500000.0,0.0,6.0,5.0,5,3,3,3,2,11.0,0.0,0.0,0.0,0.0,1121.0,"-25566,0000000000",-25566.0,1.0,1.0,0,0.0,0.0,0,10,0,0,-1,0,2,False
9,0,1,0.0,"-5,00e+06","-1,0e+06","1,50666666666667e-01","39,87666666666667",-500000.0,0.0,2.0,8.0,8,2,5,5,4,,,,,,,"-25555,0000000000",-25555.0,0.0,1.0,0,0.0,0.0,4,10,0,0,0,1,2,False
11,0,1,0.0,"-5,00e+06","-6,0e+06","9,81675000000000e-01","81,23250000000000",-500000.0,0.0,6.0,,7,1,1,3,1,13.0,1.0,0.0,0.0,0.0,41.0,"-25461,0000000000",-25461.0,0.0,0.0,0,0.0,0.0,3,10,0,0,-106,0,2,False
12,0,0,0.0,"-5,00e+06","-1,0e+06","4,16700000000000e-01","207,00333333333333",0.0,0.0,2.0,2.0,5,1,2,2,1,11.0,0.0,0.0,0.0,0.0,314.0,"-25553,0000000000",-25553.0,0.0,0.0,0,0.0,0.0,4,10,0,0,-14,0,2,False
13,1,0,0.0,"-5,00e+06","-1,0e+06","4,07357142857143e-02","183,55500000000001",-500000.0,0.0,9.0,21.0,14,2,3,3,3,10.0,2.0,1.0,0.0,0.0,250.0,,,0.0,0.0,0,0.0,0.0,8,10,0,1,-44,0,1,False
14,1,1,600000.0,"-5,00e+06","-1,0e+06","1,71650000000000e-01","50,60000000000000",-500000.0,350000.0,9.0,2.0,10,1,4,5,3,6.0,0.0,0.0,0.0,0.0,1518.0,"-25564,0000000000",-25564.0,0.0,0.0,0,0.0,0.0,4,10,0,0,12,1,2,False
15,1,0,0.0,"-5,00e+06","-1,0e+06","1,80825000000000e-01","67,33000000000000",-500000.0,0.0,1.0,5.0,7,1,3,3,2,,,,,,,"-25560,0000000000",-25560.0,0.0,0.0,0,0.0,0.0,7,10,0,0,-7,0,2,False
17,1,1,0.0,"-5,00e+06","-1,0e+06","5,40850000000000e-01","54,92500000000000",-500000.0,0.0,5.0,,6,1,3,3,2,13.0,0.0,0.0,0.0,0.0,4.0,"-25562,0000000000",-25562.0,0.0,0.0,0,0.0,0.0,8,10,0,0,-4,0,2,True
18,0,0,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,1,,,9,15,0,1,-9,0,1,False
19,1,1,0.0,"0,00e+00","-1,0e+06","3,33333333333333e-01","323,73666666666668",0.0,0.0,1.0,9.0,11,1,3,3,3,,,,,,,"-25427,0000000000",-25427.0,0.0,0.0,0,0.0,0.0,5,10,0,0,-81,0,2,True
20,1,1,0.0,"-5,00e+06","-1,0e+06","9,05533333333333e-01","120,89333333333333",-500000.0,0.0,9.0,5.0,13,1,3,3,1,17.0,0.0,0.0,0.0,0.0,161.0,"-25558,0000000000",-25558.0,0.0,0.0,0,0.0,0.0,7,10,0,0,-9,0,2,True
21,1,0,0.0,"-8,00e+07","-2,4e+07","2,93820793950851e-01","57,76205479452054",-8000000.0,0.0,486.0,261.0,576,77,27,32,24,56.0,6.0,2.0,0.0,2.0,1.0,,,0.0,0.0,3,0.0,0.0,6,5,0,1,2,0,1,False
22,1,0,0.0,"-5,00e+06","-1,0e+06","4,34980000000000e-01","45,55000000000000",-500000.0,0.0,3.0,6.0,12,1,7,8,7,13.0,0.0,0.0,0.0,0.0,65.0,"-25567,0000000000",-25567.0,0.0,0.0,0,0.0,0.0,5,10,0,0,0,0,2,True
23,0,0,0.0,"-5,00e+06","-1,0e+06","9,99800000000000e-01","31,62000000000000",-500000.0,0.0,2.0,,4,1,3,3,1,,,,,,,"-25553,0000000000",-25553.0,0.0,1.0,0,0.0,0.0,4,10,0,0,-14,0,2,False
24,0,0,0.0,"-5,00e+06","0,0e+00","0,00000000000000e+00","4,33000000000000",0.0,0.0,1.0,1.0,3,1,1,1,1,,,,,,,"-25472,0000000000",-25472.0,0.0,0.0,0,0.0,0.0,5,10,0,0,-95,0,2,True
25,1,0,0.0,"-5,00e+06","-1,0e+06","7,49550000000000e-01","210,52750000000000",-500000.0,0.0,5.0,2.0,7,2,2,2,1,2.0,0.0,0.0,0.0,0.0,2784.0,"-25554,0000000000",-25554.0,0.0,0.0,0,0.0,0.0,7,10,0,0,-13,0,2,False
26,1,1,0.0,"-1,00e+07","-2,0e+06","2,03639393939394e-01","68,24893939393939",-1000000.0,0.0,61.0,77.0,129,3,57,58,56,21.0,3.0,1.0,0.0,0.0,26.0,"-25525,0000000000",-25525.0,0.0,0.0,0,0.0,0.0,6,5,0,0,-42,0,2,False
28,1,1,0.0,"-5,00e+06","-1,0e+06","4,03520000000000e-01","29,10900000000000",-500000.0,0.0,5.0,11.0,9,3,2,2,1,13.0,0.0,0.0,0.0,0.0,592.0,"-25553,0000000000",-25553.0,0.0,0.0,0,0.0,0.0,4,10,0,0,-14,0,2,False
29,1,1,0.0,"-5,00e+06","-1,0e+06","3,09100000000000e-01","63,97500000000000",-500000.0,0.0,2.0,5.0,8,1,2,2,1,,,,,,,"-25562,0000000000",-25562.0,0.0,0.0,0,0.0,0.0,1,10,0,0,-2,0,2,False
